Exon	Cov_min_total	Cov_max_total	std_median	mean_median	median_median	mad
ABCA1_104784025	2	1052	142.871562057258	594.9375	624.5	119.71995
ABCA1_104785305	1	1272	150.529701541255	626.104166666667	663.25	110.82435
ABCA1_104786223	3	1216	118.518645011768	481.71875	496.5	94.1451
ABCA1_104786803	2	1011	108.304025631945	408.4375	423.75	107.85915
ABCA1_104787867	3	854	104.355098540091	405.697916666667	407.75	120.8319
ABCA1_104788335	4	1136	110.183630877267	481.09375	481.75	97.48095
ABCA1_104790855	0	1050	110.84641663434	428.114583333333	439.5	101.92875
ABCA1_104791846	0	1040	96.5265364011883	421.072916666667	428.5	82.65495
ABCA1_104792726	2	1118	113.521356111701	444.447916666667	469.75	95.25705
ABCA1_104793114	1	1142	117.395266058337	462.145833333333	464.75	124.90905
ABCA1_104794328	4	1186	121.828750999243	464.427083333333	466.75	130.83945
ABCA1_104795962	2	1068	106.26605010188	468.125	462.5	90.06795
ABCA1_104798330	1	1258	150.305981873832	612.989583333333	611.25	154.9317
ABCA1_104799729	4	1304	150.864305134879	598.6875	599.25	172.7229
ABCA1_104800427	0	983	98.3504350136586	419.354166666667	433.5	84.13755
ABCA1_104801985	1	1127	110.266888914035	473.895833333333	481.5	97.48095
ABCA1_104803179	1	1321	138.963486645116	572.854166666667	577.25	120.0906
ABCA1_104804553	1	905	85.6980618299996	364.958333333333	382	67.82895
ABCA1_104806150	2	1175	138.836176595791	601.822916666667	608	116.01345
ABCA1_104809395	0	1006	115.618071960355	438.1875	455.75	106.0059
ABCA1_104810742	3	1105	122.406158422201	474.15625	466.25	102.67005
ABCA1_104812484	3	954	102.661854890062	436.28125	441.25	92.6625
ABCA1_104814054	3	1011	112.669953875049	476.802083333333	489.5	110.4537
ABCA1_104814330	4	1143	111.828991292239	486.739583333333	486.5	97.48095
ABCA1_104816053	2	1120	154.678440973364	646.489583333333	671.75	166.0512
ABCA1_104817247	2	1128	109.70244854292	459.145833333333	461.5	102.67005
ABCA1_104818573	4	1238	163.358076809398	686.270833333333	695.5	159.00885
ABCA1_104819533	6	1093	122.842432355667	517.635416666667	525.5	101.5581
ABCA1_104819837	2	1333	138.18203148512	554.302083333333	560	128.61555
ABCA1_104821319	1	1095	115.388658205111	476.927083333333	478.25	115.27215
ABCA1_104822405	2	1152	130.833010344273	521.25	516.75	126.39165
ABCA1_104824401	4	1347	149.537654773089	582.020833333333	592.5	157.8969
ABCA1_104825593	0	1104	127.769499889255	542.614583333333	548.5	107.85915
ABCA1_104826857	3	1073	140.618267766354	606.197916666667	618.5	150.11325
ABCA1_104828825	1	1253	138.667614989256	569.125	584	141.21765
